iterations;min;mean;max
100;10132.05;10592.554375000002;11153.6
200;9924.75;10324.205;10818.6
300;9713.4;10106.374374999998;10586.6
400;9729.775;10031.164374999998;10454.7875
500;9728.4625;9967.801875000001;10288.95
600;9586.5375;9927.703749999999;10529.05
700;9373.2;9816.999999999998;10192.3
800;9083.95;9770.824375;10145.6
900;9387.65;9808.304375;10110.35
1000;9243.75;9687.4875;10191.1
1100;9288.75;9748.232499999998;10089.3375
1200;9132.575;9614.539374999998;9973.0
1300;9215.55;9583.123749999999;9932.15
1400;9146.55;9531.039999999999;9810.45
1500;8826.75;9491.718125;9867.9625
1600;9029.125;9511.181250000001;9813.5
1700;9225.8;9502.984999999999;9861.3
1800;8957.75;9490.118125;9822.575
1900;8963.25;9469.33375;9839.4
2000;9140.4125;9524.744375000002;9949.15
