iterations;min;mean;max
1;0.0;0.052000000000000005;0.28
11;0.0;0.04600000000000001;0.16
21;0.0;0.059999999999999984;0.16
31;0.04;0.06200000000000001;0.12
41;0.0;0.048;0.12
51;0.0;0.04200000000000001;0.12
61;0.0;0.04400000000000001;0.16
71;0.0;0.044;0.12
81;0.0;0.076;0.2
91;0.0;0.034;0.08
101;0.0;0.06200000000000001;0.16
111;0.0;0.07200000000000002;0.16
121;0.0;0.046;0.12
131;0.0;0.06000000000000001;0.2
141;0.0;0.06799999999999999;0.12
151;0.0;0.05800000000000001;0.16
161;0.0;0.052000000000000005;0.12
171;0.0;0.06599999999999999;0.16
181;0.0;0.07400000000000001;0.16
191;0.0;0.05600000000000001;0.16
201;0.0;0.054000000000000006;0.12
211;0.0;0.05800000000000001;0.16
221;0.0;0.06200000000000001;0.16
231;0.0;0.048;0.12
241;0.0;0.05600000000000001;0.16
251;0.0;0.08000000000000003;0.28
261;0.0;0.05000000000000001;0.16
271;0.0;0.044;0.12
281;0.0;0.07400000000000001;0.24
291;0.0;0.072;0.16
301;0.0;0.041999999999999996;0.16
