iterations;min;mean;max
1;87665.13379454016;95660.51384630347;104316.20661562502
11;75652.09322803497;82097.85471093666;85618.73294621467
21;74548.3611470604;79801.70042653558;85828.34842844964
31;71637.15304250717;78667.70444890787;85775.88169948578
41;72759.89042289734;77146.75171119123;80619.82056659699
51;71996.23372245788;75866.71491553233;80680.98348640442
61;70151.61201583862;74709.43327086643;82274.48550439428
71;68532.02200260162;75473.84153328724;79235.13064487457
81;69625.15723968505;75235.30558672445;78900.800893329
91;68934.161466465;75145.66595739218;81317.27400318146
101;70317.42488380433;74456.66303105434;78936.40539276123
111;69452.45656540326;73737.86240211553;77195.67265522003
121;70665.2081073761;74055.44255283756;77344.44102996826
131;69838.00354736327;73842.19185182446;77431.62823165893
141;68537.0644418335;73987.207779774;79693.22986633301
151;68571.25616950035;72689.57994539672;78169.21168617248
161;67547.2463829124;73116.913131576;78641.07949302673
171;67647.81595764161;72523.93929397463;78023.83588752747
181;67263.37712265014;72634.26341074739;76339.19524520874
191;67708.5498628235;72515.3704100191;76656.2223551941
201;65563.7933454895;72312.47198609539;76593.07425268173
211;68033.59052742005;72131.69245270014;77517.7570237732
221;70220.34140792847;72537.50881427794;75594.88900268555
231;65918.77072235108;72037.93771221463;75743.54883880615
241;69636.17973815918;73109.22040765182;76583.62331390381
251;66377.98381870269;71738.09480819262;74938.59203369141
261;65978.41623031616;70836.34782751891;74977.13165786743
271;67974.93636787415;72053.45984815466;75946.44924682617
281;67307.46265052796;70579.9850812533;76036.08812395572
291;66604.86368896485;71248.27043573165;76747.31955841064
301;66196.54817871093;70515.03186858917;74428.08869934082
