iterations;min;mean;max
1;4804.171293022434;4860.51293656754;4885.017943052749
21;4444.080819940567;4509.008299673957;4539.279051860173
41;4411.7778202088675;4465.091417530299;4526.7253012681
61;4383.0158524322505;4453.323992123307;4503.861458479563
81;4387.02751636982;4424.447638496606;4488.089875768026
101;4354.849362303416;4376.853648306742;4407.950607719421
121;4323.20560429891;4359.191147284529;4392.664347635905
141;4217.963089141846;4331.216720818604;4385.452764949799
161;4245.979826714198;4291.679637205079;4334.022630958557
181;4222.640011469523;4274.056287851741;4356.223076871236
201;4193.192559049924;4225.643078826745;4246.158321431478
221;4156.777707990011;4213.279360047182;4260.074061508179
241;4116.524385859171;4194.543188577572;4227.02123357137
261;4134.696347064972;4179.424601316134;4217.047237062454
281;4137.67187054952;4174.320006406148;4225.46017308553
301;4141.103760019938;4184.66390349706;4231.379057617188
321;4107.55140179952;4152.056078822771;4217.782622003555
341;4079.2618597284954;4147.080806591988;4189.063107452393
361;4091.7026862080893;4140.994423363368;4212.8303894042965
381;4055.2894130452473;4125.626600784302;4193.115634129842
401;4092.721336771647;4126.388509879429;4174.432568766276
