iterations;min;mean;max
1;0.16629481315612793;0.1703186511993408;0.1914374828338623
21;2.8203814029693604;2.8476219177246094;2.8722074031829834
41;5.762171745300293;5.815424752235413;5.865927219390869
61;8.445333480834961;8.492096138000488;8.537085771560669
81;11.420836687088013;11.52588472366333;11.675199747085571
101;14.410451412200928;14.44634552001953;14.501656770706177
121;17.43839144706726;17.676142954826354;18.15036940574646
141;19.65761089324951;19.857273411750793;20.356642246246338
161;22.72029423713684;22.980484271049498;23.55577516555786
181;26.344412326812744;26.975648641586304;30.02146077156067
201;29.202532052993774;29.54381227493286;30.54477286338806
221;31.368552207946777;32.033881187438965;32.996115922927856
241;34.47444152832031;34.70877141952515;35.69475722312927
261;36.97262692451477;38.4702543258667;39.214797496795654
281;39.77880096435547;40.60875585079193;41.3356409072876
301;43.06916928291321;43.42775611877441;44.00143027305603
321;45.66481113433838;46.233331823349;46.973002433776855
341;48.674448013305664;49.79005682468414;50.747891664505005
361;51.2425811290741;51.428612971305846;51.61832594871521
381;54.141146421432495;54.60094723701477;55.397700548172
401;57.67040419578552;58.3906729221344;59.008435010910034
