iterations;min;mean;max
1;453.20062714785337;454.5508241605147;456.70547536273796
21;450.3907235225042;452.29244011605596;453.25597171068193
41;450.31246826648714;452.1923172359202;453.7212948735555
61;450.0319724496206;451.7947865359282;453.09336418151855
81;448.3788101005554;451.27784249303994;454.0809636815389
101;447.67089416186013;450.47892780848343;453.07677872975665
121;445.93009915669757;449.80426081868006;454.1985064570109
141;448.63264417012533;451.01291118696827;453.0166893259684
161;445.23925139745074;448.47007684870067;454.3516444396973
181;442.8473063723246;448.1231853391031;451.7585286331177
201;444.8196582667033;448.203017850399;451.1779936726888
221;444.47195859909056;447.9958310394287;452.826859181722
241;444.2217809041341;447.1586689485709;450.9747695414225
261;441.89367977142336;445.68755360158286;448.7139465967814
281;441.4520877710978;446.5546031347911;452.1569743601481
301;441.6689649963379;446.0646540085474;451.5389361063639
321;441.26377049764;444.2524651343027;446.93694625854494
341;442.97645716349285;445.7617438907623;450.3790687052409
361;440.9391890335083;444.9663611564635;447.8912562052409
381;439.9355165608724;443.2910307483673;447.77621803283694
401;440.7352959187825;444.8491122760773;447.4746523030599
