iterations;min;mean;max
1;4264.5171021637325;4326.852903838635;4350.131535345763
21;3977.775871473948;4047.005859439151;4074.736340567271
41;3942.9099885749815;4003.507780610439;4065.394441813628
61;3927.6810719935097;3992.5421445674997;4042.733543637594
81;3925.2210247770945;3959.1474557452193;4024.198557135264
101;3889.091577472687;3914.85101528503;3940.843855082194
121;3859.809741147359;3895.881207992713;3938.6041668319704
141;3756.29186311086;3867.548519076193;3922.688502031962
161;3793.4829285049436;3833.1012385093322;3871.770643819173
181;3765.9294046529135;3815.6321367566684;3893.159678026835
201;3737.707997268041;3768.3623479579283;3792.378351236979
221;3703.385515098572;3758.7335866351123;3802.97481396993
241;3662.2289483896893;3739.479422455708;3772.7732885233563
261;3679.907030067444;3727.3236967142425;3763.576905662219
281;3685.6934980773926;3720.3346638743087;3763.6408664703367
301;3684.0636386617025;3732.778615641912;3781.246202545166
321;3654.6916513824463;3701.442505330403;3762.7201387278237
341;3623.4476600519815;3694.687440107345;3731.794892578125
361;3638.227121582031;3689.8223235804244;3761.9470691426595
381;3609.666434020996;3676.6751773579917;3745.2674929300942
401;3641.147646179199;3675.4400837052663;3728.14611424764
