iterations;min;mean;max
1;0.22666666666666666;0.3506666666666667;0.56
21;0.0;0.010666666666666668;0.04
41;0.0;0.004;0.013333333333333334
61;0.0;0.004;0.013333333333333334
81;0.0;0.0013333333333333335;0.013333333333333334
101;0.0;0.0;0.0
121;0.0;0.0;0.0
141;0.0;0.0013333333333333335;0.013333333333333334
161;0.0;0.0;0.0
181;0.0;0.0;0.0
201;0.0;0.0;0.0
221;0.0;0.0;0.0
241;0.0;0.002666666666666667;0.013333333333333334
261;0.0;0.002666666666666667;0.013333333333333334
281;0.0;0.0;0.0
301;0.0;0.0013333333333333335;0.013333333333333334
321;0.0;0.0;0.0
341;0.0;0.0;0.0
361;0.0;0.0013333333333333335;0.013333333333333334
381;0.0;0.0013333333333333335;0.013333333333333334
401;0.0;0.0;0.0
