iterations;min;mean;max
1;4827.226512238979;4874.598784982978;4951.595904082743
21;4568.955023989677;4598.319321515874;4618.266131416956
41;4536.762729142507;4562.179239221981;4591.168021330834
61;4486.491104434549;4528.614803865772;4565.902054700851
81;4443.60964808782;4483.605686132279;4540.75778184255
101;4413.178655014038;4465.758976412496;4516.94884434264
121;4446.349557495118;4482.224619583256;4534.697710924149
141;4428.870026728312;4457.620305353603;4495.257421900431
161;4353.980479354858;4436.715270569156;4483.29447072347
181;4401.993984928131;4429.890783247719;4485.379190757374
201;4373.581271006266;4427.03956101501;4467.576719258626
221;4380.45257291158;4433.168193567994;4497.5545508829755
241;4371.927673377991;4402.924836239815;4461.310713577271
261;4356.447781066894;4405.1693673867385;4445.03235071818
281;4355.5120332082115;4393.310725861768;4441.596946678162
301;4322.280095761617;4406.076817933957;4461.052200876872
321;4334.919779680968;4388.23551688691;4445.2570724487305
341;4376.83098101298;4404.4416628113595;4445.428797734578
361;4357.513010486563;4382.0168235210385;4405.191862742106
381;4349.085827382406;4387.911177492102;4417.563954772949
401;4322.515022481282;4368.90813757344;4423.238959238131
