iterations;min;mean;max
1;0.19342875480651855;0.1964733839035034;0.21657037734985352
21;3.0958642959594727;3.2062448978424074;3.3165054321289062
41;6.029957294464111;6.246966814994812;6.331873178482056
61;8.908321142196655;9.149007153511047;9.495833158493042
81;12.467520952224731;12.518159317970277;12.578891038894653
101;14.772648096084595;14.995982384681701;15.591199159622192
121;17.600693941116333;17.865614771842957;18.44075846672058
141;21.21195697784424;21.545342803001404;21.68327832221985
161;23.501598119735718;23.82439477443695;24.406486988067627
181;26.345287561416626;26.955446696281435;27.586316347122192
201;30.121238946914673;30.49185152053833;30.97562265396118
221;32.023624420166016;33.067461371421814;33.915154457092285
241;34.8255980014801;35.54276607036591;36.45503544807434
261;37.94718027114868;39.0293612241745;39.66157245635986
281;40.745497703552246;41.10991172790527;41.9557683467865
301;43.55347156524658;43.74954378604889;44.068464040756226
321;46.538817405700684;46.99747412204742;48.0566189289093
341;49.21109890937805;50.66023583412171;51.19058322906494
361;52.32753038406372;53.35506100654602;54.325989723205566
381;55.358498096466064;56.44377584457398;57.000311851501465
401;58.14658856391907;58.81130135059357;60.20474886894226
