iterations;min;mean;max
1;452.03068399325014;454.5123291044929;456.53616449807976
21;449.90911593278247;452.2360483894111;455.00364692687987
41;450.1483835728963;451.81500065433386;453.61577782948814
61;449.67078020731606;451.7106754813969;452.75171549479165
81;449.936983388265;451.6196638959701;452.71904991149904
101;449.8002658303579;451.3369799665319;452.9881906382243
121;449.2508136367798;450.92740442402766;452.6258370844523
141;449.8336874008179;451.30521304571084;453.9761377207438
161;448.4088873069689;451.2285852918744;453.61682863871255
181;448.92650433858233;451.2632402828931;453.5481239255269
201;448.40151718139646;450.6952182977199;452.34453734079995
221;448.0463723246257;450.29584518627263;453.0123944155375
241;448.36705017089844;450.46599679259464;451.67925404866537
261;448.79384991963707;450.43664619580903;452.0365861773491
281;449.2414658864339;450.2534252112905;452.9895832824707
301;449.02913497924806;451.0477047062715;453.28144757588706
321;448.29743288675945;450.0553287877242;451.7238965098063
341;447.2115311686198;450.11518852571646;452.98024561564125
361;448.4830087853471;450.12267029636104;453.2125904846191
381;447.2322499084473;450.27836881383257;452.3474352010091
401;447.7243270111084;449.83588034975537;451.77082127253215
