iterations;min;mean;max
1;4282.312656507592;4344.580599598701;4414.895222014001
21;4105.664569292863;4138.4400627300865;4161.257764962515
41;4079.4254077879586;4104.065735816127;4129.990204927127
61;4029.6935712502145;4070.466406957047;4105.349707091649
81;3985.946943143209;4026.1034280218073;4084.90749622345
101;3957.2450285402933;4008.7227323842912;4059.769217514264
121;3990.33343363444;4025.7424523546265;4078.1852338759104
141;3972.6533986790973;4000.318820182136;4036.0895981852213
161;3897.1490599441527;3979.772029180851;4026.8933916219075
181;3944.457089029948;3973.0625255612676;4027.865457912435
201;3916.5656481933593;3970.2411802994015;4010.8501732381187
221;3924.4601682027183;3977.2415428491513;4040.958008626302
241;3914.601974067688;3946.0380279272404;4002.2098288472494
261;3901.042567545573;3948.432368555943;3987.734695180257
281;3900.2235676574705;3937.349657756885;3986.2814099756874
301;3865.211800963084;3949.213118733406;4003.15888671875
321;3879.2886815583706;3932.346591031431;3989.687793375651
341;3920.2399021402994;3948.6356923400863;3989.9412845865886
361;3901.870301882426;3925.880654221505;3947.0411032104494
381;3891.0482925923666;3931.5966115934452;3959.8099715677895
401;3865.461825942993;3913.3468919557336;3969.148871810039
