iterations;min;mean;max
100;0.31743311882019043;0.3256204128265381;0.3330078125
200;0.6637005805969238;0.6795431137084961;0.7019302845001221
300;1.0124106407165527;1.1180608034133912;1.2863092422485352
400;1.374727725982666;1.4096091032028197;1.4747040271759033
500;1.7099213600158691;1.7658558368682862;1.8765685558319092
600;2.042750358581543;2.0777907848358153;2.122814416885376
700;2.288862466812134;2.3659191966056823;2.457507371902466
800;2.6187589168548584;2.669440805912018;2.712632417678833
900;2.986114025115967;3.142584574222565;3.2886416912078857
1000;3.2732551097869873;3.47002227306366;3.643850326538086
1100;3.685054063796997;3.916738772392273;4.027839183807373
1200;3.9877030849456787;4.095718407630921;4.296765565872192
1300;4.309337377548218;4.410340940952301;4.537889003753662
1400;4.726970911026001;4.928673231601715;5.105836391448975
1500;5.278772354125977;5.352195882797242;5.488884449005127
1600;5.405388832092285;5.696352887153625;5.776437997817993
1700;5.589704275131226;5.78580105304718;6.248900890350342
1800;6.053691387176514;6.311724078655243;6.750222444534302
1900;6.369714260101318;6.816556835174561;7.057449579238892
2000;7.029925584793091;7.146769797801971;7.273648738861084
