iterations;min;mean;max
1;0.0;0.009999999999999998;0.02
11;0.0;0.0105;0.04
21;0.0;0.014000000000000002;0.03
31;0.0;0.011000000000000001;0.03
41;0.0;0.006999999999999999;0.03
51;0.0;0.015000000000000003;0.03
61;0.0;0.008999999999999998;0.03
71;0.0;0.0115;0.05
81;0.0;0.018000000000000006;0.03
91;0.0;0.0115;0.02
101;0.0;0.015500000000000003;0.05
111;0.0;0.011000000000000001;0.03
121;0.0;0.013500000000000002;0.04
131;0.0;0.008500000000000002;0.03
141;0.0;0.008500000000000002;0.03
151;0.0;0.008499999999999997;0.02
161;0.0;0.008999999999999998;0.03
171;0.0;0.009499999999999998;0.03
181;0.0;0.007000000000000001;0.02
191;0.0;0.012500000000000002;0.03
201;0.0;0.009000000000000001;0.05
211;0.0;0.0115;0.03
221;0.0;0.011;0.03
231;0.0;0.017000000000000005;0.04
241;0.0;0.013000000000000001;0.03
251;0.0;0.011000000000000001;0.04
261;0.0;0.006499999999999999;0.03
271;0.0;0.012499999999999999;0.05
281;0.0;0.009000000000000001;0.05
291;0.0;0.014000000000000002;0.04
301;0.0;0.013500000000000002;0.04
