iterations;min;mean;max
1;208936.5430691788;224861.6311189739;236861.54810586123
11;158104.8590812981;163283.65101865144;166705.37539328396
21;145652.30457886218;150291.0821332229;154144.7132181561
31;140003.4543176377;143388.18595091687;147190.4311953938
41;135768.3824406624;139891.17684461342;141701.2058078158
51;132320.93367997408;136102.73641652954;139836.2591313696
61;130833.044436903;133262.57597187284;136253.1769497633
71;130320.70825677394;133101.464258651;134885.23883366212
81;127104.35185963631;130211.97129374312;131998.7688768196
91;126857.04588281631;128586.66844963105;131135.15175209998
101;124843.3680022335;127802.41524011132;129898.66443148375
111;124038.10296289444;126471.93236913253;129109.81922268162
121;123429.0854253292;125708.45961816116;127935.10893783331
131;124128.02064345837;125422.27371071353;127080.6997526741
141;121649.99824159621;124359.88992102903;127445.71844352722
151;120100.30219686509;122971.71723519867;126626.22971770451
