iterations;min;mean;max
1;0.0;0.002;0.006666666666666667
21;0.0;0.0013333333333333335;0.006666666666666667
41;0.0;0.003;0.01
61;0.0;0.003333333333333333;0.01
81;0.0;0.0036666666666666666;0.013333333333333334
101;0.0;0.0003333333333333334;0.0033333333333333335
121;0.0;0.0023333333333333335;0.006666666666666667
141;0.0;0.0013333333333333335;0.0033333333333333335
161;0.0;0.0013333333333333335;0.0033333333333333335
181;0.0;0.002666666666666667;0.01
201;0.0;0.003333333333333333;0.006666666666666667
221;0.0;0.0023333333333333335;0.006666666666666667
241;0.0;0.003;0.01
261;0.0;0.004;0.013333333333333334
281;0.0;0.002;0.006666666666666667
301;0.0;0.005;0.02
321;0.0;0.005;0.01
341;0.0;0.0016666666666666666;0.006666666666666667
361;0.0;0.0023333333333333335;0.0033333333333333335
381;0.0;0.003333333333333333;0.006666666666666667
401;0.0;0.005;0.013333333333333334
