iterations;min;mean;max
1;179505.73560629322;181904.07098531772;184033.41045744898
21;136073.9766508929;137518.4860374614;138285.46434465487
41;129850.41782408794;130847.9384609889;132013.10773156167
61;128655.5294029359;130118.51230376525;131010.61521257878
81;120588.02254262289;122513.3627777228;123938.8077819697
101;118054.4580061531;119844.85776880456;121396.69843561173
121;107437.78850425243;109861.8249075369;112695.8869158109
141;106705.56948756058;108732.92473573684;109421.68177285513
161;101783.73599594692;103686.58287434906;105503.34673588435
181;102401.20532861074;103562.42767506072;106437.00999103863
201;99512.57130449294;101233.58452622898;102855.04928420146
221;99873.78313580433;101193.76393761372;103409.84874462128
241;97985.29711547057;99034.54357994901;101007.96074372291
261;97773.726859864;99025.5336859562;100254.05821932793
281;95521.86170535485;96724.16303557405;97832.92683920542
301;95133.51227354686;96661.81836856357;97690.16543573618
321;93411.61602927843;94435.08419960998;96200.59042031526
341;93971.07366672516;94816.28757913677;95768.50502502441
361;91510.37637014389;92751.13033884208;93487.68306184132
381;90760.00487113952;92132.05174311201;92928.09562782287
401;90016.66128559351;91154.53219414607;91811.70982014974
