iterations;min;mean;max
1;1.9021203951959829;1.9639234328662074;1.9971649956188189
21;1.9620652392666884;1.9703408577915873;1.9765511325260474
41;1.959440647601198;1.9643482286639755;1.970301157340063
61;1.9206711962807916;1.9290114497183322;1.9349592154220723
81;1.9025380531164935;1.9089317376056905;1.9133032127788696
101;1.883048756383651;1.892123921269717;1.8994740006617215
121;1.8781546892955736;1.884270504825444;1.8909871179046145
141;1.8754286257699677;1.8821935668428895;1.887991862201702
161;1.8774227223216242;1.884315172764013;1.889542199507657
181;1.8955430518529064;1.899824857033859;1.90195539428778
201;1.902258593426586;1.909471837647878;1.912690186591167
221;1.9155334463293063;1.9253877490328215;1.932947328580274
241;1.928443049869093;1.9369811600919065;1.9440454837745444
261;1.9463158698268013;1.9505994553869304;1.955965441241868
281;1.9558406732656695;1.9616946171678886;1.9687123306236496
301;1.964522028362988;1.9730023462921888;1.9790428259841126
321;1.9721945308904898;1.98033911128891;1.9903925672226903
341;1.9816882512764216;1.9877442039477302;1.9916792154667244
361;1.9863079802594714;1.9936885989965805;2.003838381020868
381;1.990150171136815;1.9997418491311088;2.0087008551268464
401;1.9913745634138862;2.0047649003974177;2.0159412988515357
