iterations;min;mean;max
1;0.1869676113128662;0.19778473377227784;0.20979976654052734
21;2.977726459503174;3.0427422761917113;3.0892176628112793
41;6.010124683380127;6.133517551422119;6.276413202285767
61;8.891830921173096;8.956028461456299;8.983067989349365
81;12.052049160003662;12.214048075675965;12.389232635498047
101;14.470608711242676;14.740258049964904;15.096181392669678
121;17.49915075302124;17.614709401130675;17.66628384590149
141;20.359068393707275;20.74866909980774;21.33192777633667
161;24.05998945236206;24.201156067848206;24.57059359550476
181;26.088143587112427;26.37357602119446;26.91928267478943
201;29.344789266586304;29.8790474653244;30.61449384689331
221;32.02680778503418;32.201925206184384;32.623690605163574
241;35.13506054878235;35.65595600605011;36.23764491081238
261;38.8798246383667;39.46565871238708;39.891318559646606
281;40.83305263519287;41.76778905391693;42.63186454772949
301;43.560102701187134;44.52789664268494;45.16699457168579
321;46.93473196029663;47.466359639167784;49.038448095321655
341;49.39993119239807;50.04891045093537;51.07386374473572
361;52.52822232246399;53.83619546890259;54.38276290893555
381;55.21562361717224;55.95937819480896;57.95826268196106
401;58.848594188690186;60.06652328968048;60.83334970474243
