iterations;min;mean;max
1;171784.43401104157;174224.27449178725;176578.55913505165
21;129863.773862227;131095.8256670868;132291.66293470265
41;123512.83603120089;124724.4774209221;126420.52894337018
61;122338.65446363886;124011.39089839315;125029.33911398253
81;115098.96430710475;116591.15606528611;118076.89020847082
101;112238.9661336104;114049.15290222251;115544.22086501757
121;102187.22601619721;104487.11099721584;107526.01446306864
141;100970.22174699942;103153.06822984359;104407.21960122744
161;96076.55112488726;98023.43651292981;100093.90101853052
181;96403.29503672123;98073.41084225955;100556.84677534421
201;94464.79779445012;95697.60635181883;97179.91152923067
221;94214.75974293887;95585.9523416041;97729.30377658844
241;92655.65019067288;93713.2886037573;95458.96162636438
261;92116.3058839329;93623.31033764339;95272.5093715032
281;90065.66141518911;91501.94944403943;92456.95423328399
301;90235.43854852041;91530.17784894045;92794.21979648988
321;88356.2423989137;89346.71317587185;90786.39324565888
341;89170.82308143616;89935.68159017905;91022.67017087301
361;86741.80656348864;87914.79466339842;88675.22498711904
381;85770.72876419067;87288.75831003005;88087.53668001811
401;85336.06461317063;86402.3649448646;87242.12094402313
