iterations;min;mean;max
1;1027.9678318604924;1041.6509446057375;1050.2616222775976
21;1025.6762192058563;1036.6127255762246;1049.8057901056607
41;1033.6963906550407;1044.5824777592861;1059.2457844444116
61;1025.0523474582037;1037.3752570506588;1052.0210487985612
81;1020.912540567716;1034.6753147573488;1060.505101271073
101;1028.4310439693184;1044.2572118698286;1060.9991812896728
121;1018.1913811845084;1039.502183859055;1059.9056389458974
141;1024.0899489561716;1041.5246120758254;1057.252253627777
161;1010.5285171763102;1034.8763082333207;1059.9824022038777
181;1021.3000075244904;1037.6300165468451;1048.9373559506735
201;1021.9582793807983;1034.264104298234;1052.7428621164959
221;1024.9706069010497;1036.0278990262548;1051.5344498697916
241;1018.0799092102051;1032.8880026323397;1052.52582127889
261;1004.9485260804494;1033.0739040769338;1045.7359030659993
281;1017.8575973447164;1035.3630323803422;1053.1639401117961
301;1024.8921227900187;1035.663433343013;1043.6378534007072
321;1013.3854957135518;1034.2541697936854;1049.9822600809732
341;1023.0893743133545;1037.974568642378;1045.7905448881786
361;1019.9128684552511;1033.2580912459694;1047.476465924581
381;1012.5888265355428;1028.9062051928042;1043.7544835154215
401;1017.7866935857137;1028.2143577530383;1043.8556219323475
