iterations;min;mean;max
1;1.907834618008764;1.9930444888723506;2.0796585174296935
11;1.9367019094726436;1.9666187185889226;2.001000284675583
21;1.9192059307856724;1.9486168575067953;1.9882862652838995
31;1.9136728038677042;1.9362554048004808;1.9573693371605962
41;1.8894870675536033;1.9265071870039925;1.9530717872987917
51;1.887902044148495;1.9177437649318603;1.9611144663410027
61;1.887867538254963;1.9171970146446722;1.941992240945773
71;1.8876593953463061;1.9149993150619309;1.9354035980707411
81;1.8845592760805387;1.9085629137924922;1.9410797507789301
91;1.8828010829967734;1.9084400267521269;1.9452182260813629
101;1.8636391631570923;1.9083120912589204;1.9452501491370366
111;1.8604367829936954;1.8979576801783575;1.922827001335876
121;1.8607510877633302;1.9048814246161054;1.9418696774211568
131;1.8638663258120296;1.8943726370679173;1.9230033735153218
141;1.8539495812389108;1.8985792258148808;1.9357616700860636
151;1.8763925677100346;1.8973269869610974;1.9393060734705343
161;1.8578452945885886;1.8919962415303648;1.9399420701885126
171;1.8664514357743038;1.8938126617611093;1.9245010940420368
181;1.857561537978046;1.8799370675716767;1.9138287932357128
191;1.844335468143051;1.8825155854544344;1.9258715027220195
201;1.8526936030352943;1.8878685792436347;1.9271434420051556
211;1.8378166390013841;1.8846704897743618;1.9352545868086637
221;1.8577464244150157;1.8837681001705984;1.9133865614480414
231;1.8512687533023224;1.8856355360504853;1.9066915141565228
241;1.8326637677073676;1.8775241191854601;1.9185770523683092
251;1.8211281121776164;1.868793041979283;1.918971861942957
261;1.842515787856301;1.8759432214571077;1.9131639125439155
271;1.8209174256324154;1.8747867167430357;1.9095847418962364
281;1.8417252295837723;1.8741587862761815;1.8964107535890675
291;1.8444674909884988;1.8810973375308209;1.9198528445083674
301;1.8309867107284294;1.8728331692169342;1.9020542493340833
