iterations;min;mean;max
1;181223.22997027027;182449.82698936385;183445.35895014377
21;143029.01413394712;144142.59923953208;145002.05742269676
41;135500.0582207346;135950.51073097182;136422.96990124066
61;130046.76247667313;131395.22200382157;132504.3634407107
81;126266.42677207629;128096.2014817602;128728.05122296333
101;124646.98220037222;126279.09596919788;127383.70057730198
121;123285.67607491493;124534.21629408195;126175.04728303273
141;121999.20966219108;123032.1668769132;124337.61776764234
161;120822.97826608657;121832.58821904198;122924.92472279866
181;119752.145210579;121073.58473240238;122411.17917205811
201;118892.5642569987;119946.94636595374;120697.22944057465
221;118554.6739079539;119767.66531549869;120560.57592717488
241;117699.09794504166;119076.49928196632;120239.01827161312
261;117746.3826011149;118347.73378225425;118771.77675869624
281;116543.28418687185;117442.17512846454;118578.44504872322
301;116118.93542701086;117111.55673229959;118267.87976263682
321;116190.11919915518;116694.17047573929;117399.25224967957
341;115435.8983062348;116132.37164346236;117258.53603419622
361;114735.59166332246;115681.45609026619;116290.21897640228
381;114618.90197597504;115215.08573889805;115732.36623088519
401;114130.25794445038;114842.8028131173;115706.23733423869
