iterations;min;mean;max
1;1.9599497890144553;1.9719788039984039;1.9899925493052104
21;1.955959395172958;1.9713425886191231;1.9836089849674579
41;1.9595468533354976;1.9706542419321067;1.9942994531932017
61;1.9545693377859998;1.9654582473989446;1.98128780405178
81;1.966669666561163;1.9695589307090724;1.9733376560009102
101;1.9551841354720358;1.9643020156026014;1.9733944964797412
121;1.9608493975242398;1.9678444715783854;1.975167197249151
141;1.9617448164257978;1.968500912960892;1.975147307308351
161;1.9582047106994749;1.966368650049553;1.9773080239157907
181;1.9612642176836743;1.968931056619478;1.9775085681772637
201;1.9605834319381885;1.9672965602635781;1.9763700861028568
221;1.964365848700503;1.9688791809968276;1.9750368665250648
241;1.964076115529944;1.9681925089877434;1.9735096407168566
261;1.9653552183016543;1.9687475560135392;1.9746138529600954
281;1.9611575495272564;1.967474574115205;1.972151278794395
301;1.9641732453473209;1.969311811750942;1.9748415016924727
321;1.9629850970082567;1.9668665063149997;1.9719811150977367
341;1.9652368264474622;1.9671673824373344;1.9698427096484383
361;1.9652716020430518;1.9699858464743936;1.974719003850315
381;1.9638083706009946;1.9697680652425926;1.9733775284584578
401;1.9646688038496705;1.96752551245857;1.971821479666875
