iterations;min;mean;max
1;173830.53015708746;175074.943349402;176707.093967638
21;136215.27706191243;137450.1585528616;138302.27967576464
41;128787.72913753867;129557.3436898882;130396.96129247585
61;123424.01154949825;125154.9204092039;126050.62074866613
81;120660.2795783933;122060.10705699443;122906.99281479517
101;118836.05417528212;120470.81760767002;121825.18818975131
121;117071.80542414347;118708.22570992101;120611.79831332524
141;116239.35360227744;117170.19994599691;118346.11618112962
161;114891.3795120875;116012.50824214234;117253.57437061946
181;114377.27162839452;115421.79101501548;116804.88212698618
201;113026.45087067923;114335.91872426649;115338.91708483378
221;112577.94247536341;113777.46910382921;114655.0993551
241;112224.41480079333;113401.68463369878;114663.01654222171
261;112297.64826179504;112703.91890731391;113322.09007527988
281;110784.26299785615;111774.19779257225;112944.36631960869
301;110756.084231294;111610.81678430871;113290.4322360611
321;109996.86838387807;110777.41843974516;111761.53805611929
341;109345.54526238421;110411.07462908774;111951.5328521188
361;108755.03371992747;110103.04104671693;110945.30816030502
381;108629.6984992202;109611.42363693744;110123.50074695588
401;108251.29526398977;109104.85155498896;109660.58965801875
