iterations;min;mean;max
1;1025.4308890708535;1037.852625721193;1049.9580652891846
21;1030.5367747910818;1039.806016614733;1047.3821214326222
41;1016.7991274881363;1035.7507577542256;1049.6398500506084
61;1015.1859334913889;1035.397857635577;1048.5189269081752
81;1027.8135019429524;1037.9340753718725;1051.2404269647598
101;1021.0174375216167;1036.1714152051632;1063.4352462736765
121;1017.1216048749288;1036.7350972393228;1060.1891770935058
141;1023.6479067103068;1031.8871367529985;1037.9830724906922
161;1024.3424663718542;1035.9933260984822;1046.0453473790487
181;1026.222074643895;1040.0820064818986;1064.4491024112701
201;1023.0960075441997;1036.285121394684;1051.022178026835
221;1023.4932691129048;1037.1433316650625;1050.4615777651468
241;1021.365505771637;1032.607071331986;1040.1057113567988
261;1023.5403893412525;1040.5370055912872;1052.5725015513103
281;1012.1389155832926;1033.3212228395244;1044.6286783599853
301;1029.4192222213744;1038.8623038435621;1049.0625140603383
321;1023.2501957289378;1039.1671226846552;1048.3580860265097
341;1019.1130001576742;1037.323980248079;1047.2488566493987
361;1014.9029760869344;1029.5276287617237;1040.21606894811
381;1019.8490600713094;1034.886381204486;1051.868884862264
401;1026.7409173409144;1038.3496170191218;1044.9630514272053
