iterations;min;mean;max
1;0.03787565231323242;0.03853534460067749;0.04041171073913574
11;0.39350366592407227;0.40603705644607546;0.42933225631713867
21;0.7518932819366455;0.7669338703155517;0.7807416915893555
31;1.1138710975646973;1.1313543796539307;1.1644794940948486
41;1.4814255237579346;1.496680200099945;1.51531982421875
51;1.8505723476409912;1.883097779750824;1.945995807647705
61;2.2368814945220947;2.258686935901642;2.294604539871216
71;2.604984998703003;2.6283897399902343;2.6760544776916504
81;2.972618579864502;3.0512646675109862;3.1816976070404053
91;3.3333442211151123;3.3701804280281067;3.4760470390319824
101;3.7443764209747314;3.82844101190567;3.95469069480896
111;4.112939357757568;4.167827355861664;4.22289252281189
121;4.510126113891602;4.596924126148224;4.713773012161255
131;4.855973720550537;4.9503889918327335;5.123448133468628
141;5.225008010864258;5.255092751979828;5.286813259124756
151;5.595160961151123;5.619855725765229;5.641977548599243
161;5.913964509963989;5.9842049956321715;6.05988621711731
171;6.310120582580566;6.385958635807038;6.5444276332855225
181;6.664105176925659;6.748590171337128;7.125488758087158
191;7.061762571334839;7.2827359437942505;7.523844480514526
201;7.446680784225464;7.5108169436454775;7.571810960769653
211;7.810535669326782;7.929678606986999;8.007982730865479
221;8.223032474517822;8.325955057144165;8.575217485427856
231;8.592878103256226;8.699663650989532;8.859314441680908
241;9.00462818145752;9.149015796184539;9.308905839920044
251;9.312596321105957;9.394616770744324;9.753814458847046
261;9.11292028427124;9.731618821620941;10.455371618270874
271;9.302578926086426;9.435687315464019;9.535456895828247
281;9.688753843307495;9.82789740562439;10.00882077217102
291;10.164990901947021;10.317908370494843;10.47961688041687
301;10.31479263305664;10.550721943378448;10.994205236434937
