iterations;min;mean;max
1;10.2;11.316666666666665;12.366666666666667
11;9.2;9.965;10.616666666666667
21;8.833333333333334;9.436666666666667;9.866666666666667
31;8.466666666666667;9.067499999999999;9.516666666666667
41;8.066666666666666;8.767499999999998;9.3
51;8.233333333333333;8.745833333333334;9.283333333333333
61;7.6;8.519166666666667;9.116666666666667
71;8.0;8.524166666666666;9.316666666666666
81;7.666666666666667;8.463333333333333;9.216666666666667
91;7.466666666666667;8.435;9.0
101;7.616666666666666;8.165000000000001;8.8
111;7.583333333333333;8.263333333333332;8.95
121;7.55;8.029166666666665;8.683333333333334
131;7.416666666666667;8.084166666666667;8.683333333333334
141;7.5;7.948333333333333;8.5
151;7.283333333333333;8.019166666666667;8.366666666666667
161;7.266666666666667;8.031666666666666;8.583333333333334
171;7.3;7.972500000000001;8.45
181;7.25;7.861666666666666;8.5
191;7.05;7.76;8.633333333333333
201;7.116666666666666;7.756666666666666;8.35
211;7.25;7.679166666666667;8.183333333333334
221;7.333333333333333;7.8175;8.15
231;7.066666666666666;7.667500000000002;8.316666666666666
241;7.3;7.8025;8.316666666666666
251;7.35;7.736666666666666;8.15
261;7.083333333333333;7.6066666666666665;8.133333333333333
271;6.933333333333334;7.685833333333335;8.466666666666667
281;7.3;7.628333333333332;8.1
291;7.166666666666667;7.5966666666666685;8.15
301;6.833333333333333;7.473333333333334;7.95
