iterations;min;mean;max
1;2489.7383696150036;2531.4642350176177;2599.007775011907
11;2298.708796767394;2328.4736366736674;2355.8943311621747
21;2212.3020260095595;2250.912613619912;2290.3816548268
31;2179.6805226564406;2198.161446839742;2234.265824151039
41;2113.766949454943;2155.4956510880293;2184.466374842326
51;2097.819138765335;2117.642223907388;2140.051436940829
61;2045.0127123832704;2093.2698296706294;2124.197051413854
71;2054.4202546517054;2072.5056141715995;2088.9715080355604
81;2031.9875712394714;2056.481901855493;2081.2871432622273
91;2011.9215235710144;2037.5098554823671;2070.725276561578
101;2010.816777006785;2033.8267417005197;2053.7467029253644
111;1989.4199965159098;2013.4981756260458;2034.2962666511535
121;1972.3926073710124;2002.1466840936737;2031.346371881167
131;1966.238197406133;1988.6086717770002;2012.9734238942465
141;1955.0016991933187;1979.9970230316364;1995.0410177230835
151;1962.5396137704452;1979.184737901638;2002.3796717325847
161;1955.8474044164022;1971.1514938036107;1992.3376174608866
171;1940.60384033223;1963.0755461085341;1984.5003912607829
181;1929.4405167897542;1956.3153795464837;1981.5998933792114
191;1926.6080582300822;1952.9920172057052;1977.1440583546957
201;1923.0908507665;1942.5607459236805;1965.2810274124145
211;1912.547362620632;1936.5380891457698;1965.9497856140138
221;1915.146238454183;1931.5702559266483;1948.2236480077108
231;1909.971013991038;1931.0124311929762;1955.2584118207296
241;1902.8907409032186;1926.4908474789063;1948.4705060323079
251;1900.2130343119304;1916.78166978548;1949.3201258341471
261;1901.6986393610637;1920.001906750599;1940.0424067179363
271;1894.9833293835322;1911.5074072352552;1934.4134684880576
281;1883.48343779246;1908.0367297686637;1930.7312866210937
291;1878.3119714101156;1907.4814738187688;1927.2873794555665
301;1891.0989701588949;1904.573071388751;1915.9674547831216
