iterations;min;mean;max
1;3.83;4.105666666666666;4.33
21;1.4066666666666667;1.437;1.4733333333333334
41;1.07;1.111;1.1766666666666667
61;1.03;1.1153333333333335;1.1766666666666667
81;1.0733333333333333;1.1266666666666667;1.2166666666666666
101;1.0766666666666667;1.12;1.15
121;1.0766666666666667;1.133666666666667;1.1833333333333333
141;1.0466666666666666;1.1059999999999999;1.17
161;1.06;1.283666666666667;1.47
181;1.06;1.247;1.4466666666666668
201;1.1433333333333333;1.365;1.5166666666666666
221;1.1166666666666667;1.358;1.4366666666666668
241;1.26;1.3696666666666666;1.4266666666666667
261;1.32;1.3599999999999999;1.3966666666666667
281;1.18;1.3053333333333335;1.3766666666666667
301;1.24;1.2963333333333336;1.3533333333333333
321;1.2333333333333334;1.286;1.3666666666666667
341;1.2033333333333334;1.2779999999999998;1.3466666666666667
361;1.1566666666666667;1.2316666666666667;1.3233333333333333
381;1.1933333333333334;1.2516666666666665;1.3366666666666667
401;1.2033333333333334;1.2626666666666666;1.3233333333333333
