iterations;min;mean;max
1;2011.8192746792672;2066.1887321126023;2117.939646445376
21;1470.053072084586;1493.135329492125;1517.534950119257
41;1380.615140080452;1414.830037576692;1478.7252674627305
61;1412.1551959355672;1432.5969336315666;1478.442054233551
81;1405.6074818348884;1438.3798945718806;1489.8157867177326
101;1391.8695869652431;1433.4476775699836;1471.0417972199123
121;1379.4628145853678;1424.5249769413617;1453.7913493188223
141;1391.0802989641825;1420.3159188146044;1458.8681630325318
161;1355.5860127417247;1409.6883407141468;1453.6765211511652
181;1368.7187509059906;1417.9284894866548;1464.7322599665324
201;1333.0038328488668;1404.2605563208149;1455.1642012229433
221;1350.69958791097;1398.5465277773142;1454.6306307693324
241;1332.9441655158996;1379.017917872588;1433.3838800462088
261;1348.927836259206;1376.8843912970228;1401.9209604231517
281;1331.0456175263723;1354.2223664364813;1384.30599831899
301;1308.4609205118816;1349.8427939870357;1380.892979113261
321;1301.1971119976045;1345.2080078139306;1379.56228486379
341;1300.8027616182962;1339.6981628789902;1363.6031908575694
361;1292.7138790893555;1326.114094953696;1346.9583264668784
381;1292.1471659914653;1329.6731178309124;1373.9008936055502
401;1280.5488399982453;1324.666288556417;1346.2689765421549
