iterations;min;mean;max
1;1.0494545968653928;1.1453536188171487;1.2259909082788842
21;1.129159398165639;1.1404823447973127;1.1673593069240407
41;1.0461170376080549;1.1474183049886382;1.2061669151385574
61;1.0846314157820984;1.1321033825162836;1.1542946109988963
81;1.0741432597322575;1.1221070955437642;1.1616048127248872
101;1.0701422141560355;1.1350867557719937;1.1997932113605967
121;1.1007005459516512;1.1476482965841126;1.2017848427378193
141;1.1044112047374581;1.1586584240203852;1.1932362797139364
161;1.1192562962198704;1.1635933717832911;1.2387581103959877
181;1.1121111488724658;1.1726064602900532;1.2174589380242293
201;1.0978833842550944;1.1662940255491185;1.2788804813620769
221;1.1309049433604126;1.1812981679418055;1.2423684395860484
241;1.1178119503401158;1.1769000276110808;1.2111213502853961
261;1.168441731105988;1.1925529713424754;1.230413030648523
281;1.135269715892975;1.1827654131442527;1.244282196874385
301;1.1520113179885985;1.1881220873646356;1.2487366843965175
321;1.1363379879026714;1.1871267646353818;1.2422160531277155
341;1.1650258489858918;1.2085774592837972;1.3036260806063358
361;1.1543576246766887;1.1831142824505154;1.2139823176099447
381;1.131746913089466;1.222888841800795;1.2737811848890999
401;1.1307839272976792;1.2074459313343862;1.2561906036516546
