iterations;min;mean;max
1;0.17282366752624512;0.18803045749664307;0.215681791305542
21;2.7310168743133545;2.7436819553375242;2.7792792320251465
41;5.503683805465698;5.576069235801697;5.641948223114014
61;8.092503070831299;8.28156681060791;8.497135400772095
81;10.66230583190918;10.915121388435363;11.278833150863647
101;13.237800598144531;13.35437479019165;13.698609113693237
121;16.435465574264526;16.54852340221405;16.666240453720093
141;18.580859422683716;19.03977997303009;19.465528964996338
161;21.370522022247314;21.88168842792511;22.19837737083435
181;23.59891390800476;24.322238445281982;25.05651354789734
201;26.527515411376953;27.112317323684692;28.002825498580933
221;29.27906584739685;29.485927414894103;30.249454975128174
241;32.06677961349487;32.5852379322052;33.15065097808838
261;35.25407600402832;35.419215369224545;35.7418737411499
281;37.14566087722778;37.800730514526364;38.723708629608154
301;39.78821039199829;40.7689510345459;41.644617795944214
321;42.47361707687378;43.16946420669556;43.71910881996155
341;45.11156868934631;46.14848635196686;46.84385395050049
361;48.082009077072144;48.83849484920502;49.17217397689819
381;50.67149543762207;51.74707374572754;52.633383989334106
401;52.63215398788452;54.07205245494843;55.19611048698425
