iterations;min;mean;max
1;765.997304905653;821.119336064168;866.0241762768229
21;281.37241749604544;287.3794685954056;294.641561405661
41;213.99762358983358;222.19070206164602;235.27281050833872
61;206.01872576236724;223.07253624072752;235.32955476284027
81;214.62437551180523;225.3271013353144;243.32202791372936
101;215.3408201042811;223.97547684361308;229.98854526201885
121;215.27535344282785;226.73067624976147;236.6527406946818
141;209.30264178911844;221.184826138686;234.00931482950847
161;212.01730226198833;256.71725747678676;293.97053466161094
181;211.93703205426533;249.40196860288148;289.376963818868
201;228.6630478001776;273.01702206517405;303.38728872299197
221;223.37064973513284;271.59629448008536;287.3537343589465
241;251.99492896556853;273.92751653973266;285.35358357747396
261;264.0271893056234;272.0039322251479;279.30135345458984
281;236.00211852232616;261.0684654955864;275.34870230356853
301;248.0085011291504;259.27567941435177;270.7100552113851
321;246.6436761601766;257.20017306534453;273.32762893676755
341;240.68442604700724;255.5862765900294;269.3161491648356
361;231.32854831695556;246.33260669612886;264.6550917816162
381;238.64250688552858;250.3284094912211;267.37114954630533
401;240.62656840324402;252.52756525516511;264.6674085744222
