iterations;min;mean;max
1;210.01807181164622;222.74483031264194;236.49882252119482
21;220.07377173105877;222.86238668925725;226.73074646631878
41;207.091890381972;221.47273115118665;228.08757249832152
61;211.1909516032537;218.4288504295208;224.80932963834
81;209.49316582043966;217.03209051595172;221.42585838635762
101;208.49261547724407;218.41301036800368;226.897872244517
121;212.83534053484598;219.14992092075482;224.54970741257412
141;215.1378247695703;221.69562807557523;230.68916344006857
161;214.62034039815268;220.85762700534855;230.06611442565918
181;211.68268370310466;221.89643429430345;228.62635428905486
201;207.540544424057;221.8091709245902;239.55238068262736
221;211.11694376309714;221.85645810687544;234.41275531768798
241;208.15321266174317;219.1520109668573;230.91259712616602
261;213.52904450734457;223.8049164003531;235.6165376027425
281;207.60012290318807;218.85486739246053;230.4972484175364
301;208.12401527086894;219.28645939509073;230.68341957092287
321;207.81046414693196;217.47511557483676;231.41070245107014
341;216.37844526926676;223.70284588066738;244.21296805063884
361;199.05177786509196;217.7984090577761;227.8676330502828
381;203.5705610148112;225.3660105837186;239.61982804616292
401;197.11001766204834;221.43706543032326;232.3635189819336
