iterations;min;mean;max
1;972.3368015394857;1015.0168086169988;1046.2693595067162
21;948.6987612160046;973.7235561977047;1002.9661840911706
41;926.9894234863917;961.6127174455685;1044.534950582981
61;961.5954870018636;981.6363912944922;1022.2280341339111
81;954.0620247371992;986.8527962963299;1034.9097930558523
101;944.9711885436376;981.8906292077248;1027.7598229058583
121;923.1331266657511;969.5011862309162;998.6235185186068
141;938.0548383363088;968.7685172258974;1009.8538546943664
161;877.841886100769;922.7804930856724;967.6494544076919
181;855.6781615749995;937.415791134548;1007.9849118550618
201;818.7219174321492;899.981792463124;1000.4210712764676
221;841.985563659668;895.8549101884364;956.9987718677521
241;834.5993832715352;876.845035704851;930.1359750366211
261;850.1961480903625;871.5832069221735;895.2806125068664
281;815.3591934426626;864.8222629507384;912.589858845075
301;819.7769469833374;861.9760622770785;896.4610922241211
321;819.2690960089366;861.0598264156182;899.2931617991129
341;811.624895362854;850.4172298264505;871.7851424296697
361;821.9453089841207;852.0100651448568;870.5708834520975
381;804.9827940654754;844.0080390035312;907.1728639602661
401;796.0209921646118;841.3792842950821;871.823297030131
