iterations;min;mean;max
1;0.9318547238895791;1.2502636281723054;1.7285571374853732
11;1.208381802001056;1.3711720215147432;1.505343236921876
21;1.0939409800964333;1.2537983291261394;1.4520546899178841
31;1.1205175170113586;1.2779524743320008;1.409757878794775
41;1.0980547807436831;1.3349260375286085;1.5290268947830916
51;1.1115785658979083;1.3660634774832001;1.6454040940352175
61;1.1259686945489038;1.2963491993738008;1.5596436575620494
71;1.1047020023336143;1.3380186434817243;1.549908275309377
81;1.0810931618149728;1.2709898315671608;1.50106280667822
91;1.1389826895408466;1.2837392543802604;1.50067254839472
101;1.1190183284392219;1.2928970548495236;1.4787644616107207
111;1.1125932714632938;1.2345249862831786;1.5454854720982947
121;1.1751182972914689;1.3135265770808364;1.551728422564365
131;1.0641110126064137;1.3159188437608502;1.4828029527503361
141;1.08050124453191;1.2686788717046;1.539816253723704
151;1.1718041004616093;1.2711758563428457;1.3966828745902657
