iterations;min;mean;max
1;3.933333333333333;4.121333333333333;4.253333333333333
21;1.3966666666666667;1.4826666666666668;1.5533333333333332
41;1.0233333333333334;1.133;1.2366666666666666
61;0.85;0.9339999999999999;0.9966666666666667
81;0.77;0.8056666666666669;0.8433333333333334
101;0.6866666666666666;0.7396666666666667;0.79
121;0.6166666666666667;0.6803333333333333;0.71
141;0.59;0.6166666666666666;0.6733333333333333
161;0.5433333333333333;0.5899999999999999;0.6466666666666666
181;0.47333333333333333;0.5216666666666666;0.5866666666666667
201;0.43666666666666665;0.497;0.5333333333333333
221;0.42333333333333334;0.473;0.5466666666666666
241;0.39666666666666667;0.4333333333333333;0.49333333333333335
261;0.38666666666666666;0.4326666666666667;0.5
281;0.3566666666666667;0.3966666666666667;0.4266666666666667
301;0.31666666666666665;0.3966666666666667;0.4266666666666667
321;0.34;0.37;0.43
341;0.31333333333333335;0.34066666666666673;0.36666666666666664
361;0.31666666666666665;0.3556666666666667;0.4266666666666667
381;0.2833333333333333;0.3476666666666667;0.38333333333333336
401;0.27666666666666667;0.30766666666666664;0.36666666666666664
