iterations;min;mean;max
1;2018.3482529705764;2077.3348378009155;2114.186271119565
21;1460.2568380331993;1511.1216365032092;1537.5397507290045
41;1399.2911471923192;1419.5427388816483;1459.5994552397729
61;1334.649810810089;1380.2486338323984;1428.282960832119
81;1317.319939997991;1349.1517322850982;1375.744749417305
101;1315.6734078566233;1336.4733410548693;1364.1481044578552
121;1295.7678645293329;1318.2755016010644;1360.320839120547
141;1267.3072825686138;1301.8118711094983;1323.622294845581
161;1259.1253800201416;1290.3688916621381;1328.261792643865
181;1252.2355430046716;1277.4005788386248;1293.6888441181184
201;1242.0707868440945;1268.0374933698145;1290.1766081492106
221;1245.8003499492008;1265.7790367315472;1282.4181978734334
241;1228.249652795717;1256.8654853056198;1289.4127527300516
261;1231.5408358097077;1256.2484440134551;1283.007259864807
281;1199.1885329310098;1236.2085807389492;1271.9972047011058
301;1202.7195419323443;1241.309284105897;1277.336248814265
321;1210.2270882378023;1237.8132999152542;1266.89674785614
341;1186.5547247950235;1220.2113367258457;1264.2304977416993
361;1207.361767578125;1236.3075695113837;1273.6074420433242
381;1208.3736801469397;1241.0524775689848;1282.654525044759
401;1172.1866643269857;1216.6837394417423;1271.1263580608368
