iterations;min;mean;max
1;1.0668664611660175;1.1215413577528017;1.221087031074586
21;1.087059293415753;1.1488341569586138;1.220969098318491
41;1.0982902217351207;1.1354736039183106;1.1832984767917347
61;1.0662780641709255;1.1391577992071427;1.1754531665162795
81;1.095409340256243;1.1408426540343637;1.193958121326711
101;1.077311082165393;1.1398628740989865;1.1905068266241199
121;1.092197460036809;1.142077871539247;1.1852188413965543
141;1.1057942354096126;1.133890023733818;1.1801049869034805
161;1.1116901064915463;1.1355530621735546;1.171043787902801
181;1.1073081558463111;1.1472212659853556;1.1922105647742562
201;1.120707043170415;1.1479122822799597;1.1799953211103245
221;1.1170490787822287;1.1429630492144136;1.1754728556395801
241;1.0878054736141647;1.1392064094958967;1.1848812013481114
261;1.102887039390417;1.1375727648296567;1.17673796963537
281;1.1111660811610995;1.1527076645025578;1.2027451252217873
301;1.0915560887357991;1.14691197791456;1.2269905367529736
321;1.0920981059814132;1.1381288407073098;1.1825991658971917
341;1.1114460856536885;1.1621530804252462;1.208103511171172
361;1.082747654006351;1.1343614914769815;1.1912895466644344
381;1.071524027394566;1.119144918840067;1.167792054159464
401;1.0747503002073449;1.1461331570807265;1.1992114976400936
