iterations;min;mean;max
1;0.15346670150756836;0.16226048469543458;0.19127869606018066
21;2.995060682296753;3.018833327293396;3.038844347000122
41;5.543716907501221;5.752160835266113;5.86438250541687
61;8.319765090942383;8.434794044494629;8.722431421279907
81;11.44875717163086;11.690843725204468;11.761767148971558
101;13.908827066421509;13.989666366577149;14.05736780166626
121;16.712928771972656;17.176700019836424;17.33088493347168
141;19.332417488098145;19.851126551628113;20.11636257171631
161;22.056049346923828;22.188246607780457;22.253373861312866
181;25.1065936088562;25.548446583747864;25.921401977539062
201;28.391045808792114;28.714547801017762;29.180138111114502
221;31.183723211288452;31.95683364868164;32.20750403404236
241;33.06349802017212;33.83088619709015;34.97002053260803
261;35.755324602127075;36.28084840774536;37.197498083114624
281;38.69724202156067;38.869705939292906;39.055036783218384
301;41.46875524520874;42.22469277381897;43.38950705528259
321;43.881176471710205;44.620165371894835;45.596540689468384
341;46.8927276134491;47.71151738166809;48.74734354019165
361;49.980772972106934;51.47834813594818;52.3862247467041
381;52.25232005119324;53.79273836612701;55.24695181846619
401;55.61029100418091;56.45860283374786;57.30732774734497
