iterations;min;mean;max
1;786.6238481503725;824.2427059452923;850.5897012414039
21;279.3096148276329;296.51343967109227;310.6182827810446
41;204.65615996321043;226.586164631873;247.30707375595628
61;169.96114337762197;186.80347094716922;199.31627346498755
81;153.96787200609842;161.1318016333853;168.63797877311706
101;137.3354277320703;147.9234456515874;158.00164263344357
121;123.3441138235728;136.06293518305898;141.98675612767536
141;118.00078076680501;123.34057587770933;134.6912468846639
161;108.6614224465688;117.99980886016537;129.34635971069335
181;94.62345384597778;104.3364281834541;117.3661867205302
201;87.31799279848734;99.40248720988382;106.66947714487712
221;84.67520697593689;94.5977859621793;109.34098907152811
241;79.34646736825506;86.66783796839415;98.6539033571879
261;77.3376418240865;86.52653928724925;99.9870956548055
281;71.33177020390828;79.33067601627111;85.34295519828797
301;63.353060616205134;79.33657641843457;85.3353927230835
321;67.99892395019532;74.00369058313966;86.00156095822652
341;62.66408755620321;68.13453101969758;73.33488384246826
361;63.28135108947754;71.11898224604627;85.3386741285026
381;56.670072364807126;69.54248832009446;76.68555611928304
401;55.344772275288896;61.53654343334834;73.33362962086996
