iterations;min;mean;max
1;211.5570209876572;219.54214306147568;233.6169669306775
21;217.3805937476953;226.21358381923488;242.00093713442484
41;212.4735187749068;220.2459016765694;227.9033733169238
61;207.59723787784577;220.37201931345172;226.0480224386851
81;212.1712952232361;219.91754631742896;226.6368017991384
101;206.833058116436;219.52389046135627;229.72450957298278
121;207.32688999493917;218.26079760379008;229.3360113477707
141;210.39504213015238;215.5564960548507;220.20473687171935
161;206.99626845995584;213.64113089251023;218.6597412466506
181;208.10076638857524;216.8204749265285;228.97768951416015
201;211.79512568155926;216.77410257901298;221.3381922109922
221;209.63954942067465;216.6831542555671;222.0913394087364
241;203.8754891459147;215.55861211509819;222.6828277460734
261;208.0058725452423;213.3453513884172;219.1489880259832
281;208.66025557200115;214.82847526024528;222.16061213175456
301;205.70104208628337;215.11610708379249;223.98161554490525
321;205.0971467971802;211.74064601754154;219.0583886305491
341;209.86408016204834;215.43954706660406;222.2895952097575
361;202.08439496358235;211.87192908947668;220.21285910288492
381;201.01432968139648;208.03790340767083;217.1517072560165
401;203.054071076711;213.53955910219875;222.5819394395873
