iterations;min;mean;max
1;990.6648068363965;1026.6441872478858;1057.0548942794403
21;929.5068326536814;979.4132320947663;1009.1801920007666
41;937.4764750130971;963.2760748357035;1010.1171416417758
61;925.8392669645946;964.013082394327;1017.2717706513405
81;931.5219480705262;958.7583064228227;994.2976865625382
101;927.3115726788839;960.0445265187922;1001.3950282168388
121;919.5572592035929;954.5748270089347;1014.5136808395386
141;921.7237470118205;953.5132118937199;979.565845375061
161;918.1450821940105;949.504550576528;989.9511975383758
181;920.1429876708985;947.0494155937771;973.1954097747803
201;922.0403012045225;942.2524286518312;966.0483231989542
221;922.1924092992147;945.5544725598568;968.0032748603821
241;915.66318567276;945.4187885807287;984.0442232608796
261;918.713811527888;947.188541109259;976.4251490656535
281;885.588831799825;932.9629372260745;969.3547784900666
301;893.0350410572688;937.3203859910147;982.2674814033509
321;913.1966002019246;942.5311647441089;978.7528500239055
341;893.0810411198934;927.3756727819045;972.5947178904215
361;911.7254541269938;944.0543308054955;981.39362962087
381;915.7830863492635;954.2752926257547;994.2183858998617
401;875.223446261088;932.3507860596726;993.2308937740326
