iterations;min;mean;max
100;1.1665904521942139;1.1932023882865905;1.2212028503417969
200;2.36332631111145;2.4024710774421694;2.4229736328125
300;3.4082796573638916;3.5748100161552427;3.756221055984497
400;4.489805698394775;4.581633520126343;4.645769834518433
500;5.664411306381226;5.808523106575012;6.122911691665649
600;6.7349488735198975;6.885782825946808;6.934634208679199
700;7.938190698623657;8.096273851394653;8.535430908203125
800;8.980964660644531;9.303150415420532;9.797471761703491
900;10.147262573242188;10.510343885421753;10.874021768569946
1000;11.351850748062134;11.481311631202697;12.002826690673828
1100;12.267808198928833;12.513565218448639;12.971263647079468
1200;12.821561336517334;13.243960452079772;13.439331769943237
1300;13.51854658126831;14.021818602085114;14.404301404953003
1400;14.576871156692505;15.224461090564727;15.774100303649902
1500;16.22186779975891;16.477051520347594;16.55795979499817
1600;16.53232216835022;17.38028290271759;17.784968376159668
1700;17.552681922912598;18.513967871665955;19.14161968231201
1800;18.642781734466553;19.64778776168823;20.202696323394775
1900;19.735422611236572;20.15914257764816;21.085604429244995
2000;20.749086380004883;21.41810134649277;22.635200262069702
