iterations;min;mean;max
1;88297.42284101009;96044.65065752207;101704.1661990276
11;80385.67768066406;81894.73920031122;84208.29395312787
21;76762.59912517547;78423.53907512012;80020.5324541092
31;75252.7546785736;77182.86133340646;79424.7768782568
41;74873.94229223252;76332.7191811195;78403.74154468537
51;73177.73565628052;75218.10346592002;77463.10393275261
61;73635.22455716133;75094.06203109483;76709.33717967987
71;72355.83357629777;74122.47387610695;75536.7632774353
81;72042.4369343567;73731.37240981418;75693.96339737892
91;72288.71525569916;73485.63732657654;74604.15648620605
101;70982.12980667115;73364.0380331193;75132.38905911446
111;71380.90337509156;73016.4185751101;74377.26531921387
121;70663.3783303833;72629.65681770844;75104.04308395386
131;70805.66169124603;72557.96462675923;73736.71926979064
141;70278.51553707123;72238.81663471975;73834.40658927917
151;70588.2565625;71998.93346650626;73977.59202079773
161;70109.79064254761;71963.55869458604;74134.16512924194
171;70833.99078201294;71909.69485039901;74056.9365473938
181;70125.3964686203;71797.14985535425;73006.53341140746
191;70439.31926361084;71512.6782271443;73237.0784689331
201;69891.42047615051;71124.41683967673;72508.98373855591
211;69907.86084274291;71311.23058406489;72538.30691942215
221;69668.58288902283;71087.47058885216;72209.7975064087
231;70575.48978332519;71342.41290272985;72596.90193359375
241;69439.31313854217;70627.44599834435;71901.99928253173
251;69458.95212860107;70746.39422032368;72081.0758869934
261;68388.90225463867;70352.26962228035;71787.17699981689
271;68743.03040771485;70430.92184477286;71833.90905975342
281;68566.74634338378;70175.98927491545;72141.57473541259
291;69076.63787017822;70489.13182120801;71512.27108535767
301;68481.01711265564;70087.47775906979;72303.43518096925
