iterations;min;mean;max
1;0.035888671875;0.03694570064544678;0.04115772247314453
11;0.36001157760620117;0.36527965068817136;0.3849008083343506
21;0.6766257286071777;0.6863966822624207;0.7005467414855957
31;1.004667043685913;1.0140437245368958;1.044419288635254
41;1.3189101219177246;1.331238579750061;1.3462693691253662
51;1.6383707523345947;1.6552181243896484;1.6688759326934814
61;1.9428834915161133;1.9733755111694335;1.9946422576904297
71;2.271512746810913;2.297261154651642;2.3308496475219727
81;2.5599474906921387;2.5989162921905518;2.634182929992676
91;2.894927740097046;3.0132065057754516;3.1572940349578857
101;3.2828245162963867;3.3256410121917725;3.398512840270996
111;3.560994863510132;3.622102904319763;3.6895501613616943
121;3.9225735664367676;3.9605501174926756;4.009788990020752
131;4.236948728561401;4.286290061473847;4.3943870067596436
141;4.542133092880249;4.617155110836029;4.696741819381714
151;4.879682779312134;4.94733760356903;4.99164080619812
161;5.239003419876099;5.293487286567688;5.36660623550415
171;5.4958202838897705;5.65842592716217;5.764145135879517
181;5.863234519958496;6.041130077838898;6.3924455642700195
191;6.32728123664856;6.552695095539093;6.874453067779541
201;6.580935716629028;6.744288992881775;7.378839015960693
211;6.875415802001953;6.957111489772797;7.037286996841431
221;7.227201223373413;7.470078456401825;7.797419786453247
231;7.503978252410889;7.702277565002442;8.018946409225464
241;7.9416303634643555;8.11775621175766;8.992632627487183
251;8.212157487869263;8.33289921283722;8.463605642318726
261;8.421936511993408;8.601543653011323;8.757712364196777
271;8.788590908050537;8.992195534706116;9.178296566009521
281;9.227646112442017;9.35301740169525;9.48466944694519
291;9.583759069442749;9.763300061225891;10.117386102676392
301;9.81114411354065;9.966815412044525;10.140481948852539
