iterations;min;mean;max
1;0.0;0.0055;0.02
11;0.0;0.003;0.02
21;0.0;0.006500000000000001;0.03
31;0.0;0.0075;0.03
41;0.0;0.0035000000000000005;0.01
51;0.0;0.005499999999999999;0.03
61;0.0;0.009;0.03
71;0.0;0.009;0.02
81;0.0;0.006999999999999999;0.03
91;0.0;0.005;0.03
101;0.0;0.004999999999999999;0.03
111;0.0;0.009000000000000003;0.03
121;0.0;0.004999999999999999;0.02
131;0.0;0.008;0.03
141;0.0;0.009499999999999998;0.02
151;0.0;0.010500000000000002;0.03
161;0.0;0.004499999999999999;0.02
171;0.0;0.0095;0.03
181;0.0;0.008;0.03
191;0.0;0.009500000000000001;0.04
201;0.0;0.004;0.02
211;0.0;0.005999999999999999;0.03
221;0.0;0.0075;0.02
231;0.0;0.005999999999999999;0.02
241;0.0;0.0055;0.02
251;0.0;0.006;0.03
261;0.0;0.009000000000000001;0.04
271;0.0;0.008499999999999999;0.03
281;0.0;0.008499999999999999;0.04
291;0.0;0.004;0.02
301;0.0;0.0075;0.02
