iterations;min;mean;max
1;167847.83665172904;187493.20507343745;203629.64239819392
11;128004.20271161795;133839.03785647894;147511.71196253775
21;121436.14622775317;125754.85731247297;130962.2460324502
31;116408.72014172554;120867.1568594971;125723.28696346044
41;112305.49327556133;117595.74176963815;120883.22952017785
51;113355.61692676545;115523.55377594424;117686.55055161477
61;110201.96551492214;113273.44210499435;115858.49598992348
71;106708.39852503776;111329.44212463943;115489.34134349346
81;107696.06501970292;110467.11938318152;114646.97157820701
91;107843.27089637757;109492.96149106175;111691.24607780456
101;104720.5696130371;107622.43181197092;110869.40477089882
111;102784.00878852844;107275.18748625771;110142.63687711715
121;103016.55951839447;106801.31319330768;109509.73880905152
131;103463.14576602935;106455.78483157388;108747.09690660477
141;102268.18175613403;105214.89029787939;107761.60788996697
151;100642.04635593414;104861.21014492349;107854.07482084274
161;100900.95193143845;104107.71298869417;106813.1839107132
171;100675.98457319975;103632.36150990284;106714.95265384675
181;100687.69477256775;103469.88448628905;106876.41371582031
191;100799.19646034241;102517.0995515813;105080.6110641098
201;100540.09866675377;102473.64517003967;105624.96994480133
211;98580.30060380936;102170.02902782752;104260.11379463196
221;98977.92464168549;101665.14719690057;104146.36104171752
231;98149.9638168335;101401.86963941391;105381.25011104584
241;98145.07966918945;100811.18868806366;103536.09631496429
251;96380.68620040893;100517.69363921032;103173.1360106802
261;97737.18298210144;100580.2369260173;102594.33250070096
271;98051.6806828308;100160.09430001158;103481.06377567291
281;95954.17340545655;99936.7682954968;103142.91929840088
291;96985.29762485504;99553.61642580322;102337.65205581665
301;96690.63472450257;99646.28428131722;104124.2193400383
