iterations;min;mean;max
1;1.8204677524791841;1.9467185558958544;2.033362129047808
11;1.8963367781401383;1.9390976621944662;1.9800857647427261
21;1.9093440665842405;1.9409585150685698;1.9646688517965334
31;1.8904807487262754;1.9221203339453237;1.955643385921189
41;1.8995956534297378;1.9271009360793332;1.9512288999691212
51;1.8914641351875303;1.9171708533678498;1.940822585785273
61;1.8811412961674;1.9113893128946002;1.9440346958072425
71;1.8775098169145532;1.9079295659492324;1.9374021286927512
81;1.8765258875597333;1.9158825995861304;1.9537813181019708
91;1.8662592024561238;1.9065485524226662;1.958333844440035
101;1.891493831861753;1.910546109559077;1.9274219997444884
111;1.8738915648290306;1.9029620494111659;1.9418982610640516
121;1.8367209516085456;1.8941380281442242;1.9331689046870622
131;1.8633229603179475;1.8991320443746083;1.9432365462150887
141;1.8691249649258583;1.8996391996803326;1.9285122250733218
151;1.8687329980154224;1.896318204421736;1.9268008676617179
161;1.866918875123798;1.8977843418566678;1.946198688322271
171;1.8528476228292299;1.9011367872775478;1.9384927726418717
181;1.8502064069743027;1.890491092487364;1.932092995689845
191;1.86332904595344;1.8865292892516496;1.9087528369984565
201;1.851156124937977;1.8906506819317404;1.907731443950055
211;1.844017429462627;1.8848754551425255;1.9136471232435128
221;1.8535115556819985;1.8890539668609627;1.9204233536717346
231;1.855617085744609;1.893700753217379;1.9349418197258685
241;1.8619947210474561;1.8877948095103956;1.9111504788342248
251;1.8723080243082841;1.8929736869085114;1.9171912192736156
261;1.836442142171857;1.8820384128398626;1.907055910161351
271;1.8396265101153677;1.8830739112911754;1.925312972568204
281;1.845044085993451;1.898178665345008;1.9222454509503755
291;1.8392828740715443;1.8826805960316313;1.901873529477792
301;1.8603298978141414;1.8888327696655924;1.9136322448180458
