iterations;min;mean;max
1;0.03787350654602051;0.03888125419616699;0.049530982971191406
11;0.3839907646179199;0.4131908893585205;0.44416379928588867
21;0.7593376636505127;0.7774011731147766;0.8129467964172363
31;1.134298324584961;1.2144425630569458;1.3594613075256348
41;1.5341160297393799;1.597805106639862;1.8002350330352783
51;1.8453729152679443;1.9179970622062683;2.0337376594543457
61;2.258669137954712;2.293385887145996;2.3350257873535156
71;2.5618510246276855;2.6846559882164;3.3336703777313232
81;2.715210437774658;2.841941475868225;2.9559288024902344
91;3.06372332572937;3.1248799324035645;3.2262685298919678
101;3.417189598083496;3.4490554094314576;3.5013623237609863
111;3.7828590869903564;3.834394609928131;3.885282039642334
121;4.124758958816528;4.178161013126373;4.2248029708862305
131;4.409165859222412;4.520182633399964;4.766804456710815
141;4.911277532577515;4.973059058189392;5.111470937728882
151;5.233531475067139;5.29968535900116;5.373454332351685
161;5.523520231246948;5.667036509513855;5.737632751464844
171;5.879014492034912;6.02388585805893;6.217595815658569
181;6.087321043014526;6.371113896369934;6.5855467319488525
191;6.423499584197998;6.583170640468597;6.854205846786499
201;6.9994590282440186;7.089423751831054;7.183955430984497
211;7.268377065658569;7.485746109485627;7.861107349395752
221;7.5732386112213135;7.817899334430694;8.076891660690308
231;7.996447324752808;8.176888632774354;8.452497243881226
241;8.158267259597778;8.494600439071656;9.10108757019043
251;8.583665370941162;8.639967274665832;8.80332612991333
261;8.827260732650757;8.967137169837951;9.138060569763184
271;9.25678014755249;9.317560362815858;9.408450841903687
281;9.50341010093689;9.564888048171998;9.647409200668335
291;9.72930097579956;9.830570018291473;9.949300050735474
301;10.076609134674072;10.160550022125244;10.209442138671875
