iterations;min;mean;max
1;10.2;11.094166666666663;12.4
11;8.9;9.575;10.283333333333333
21;8.333333333333334;9.093333333333334;9.733333333333333
31;8.333333333333334;8.950833333333332;9.816666666666666
41;7.966666666666667;8.940833333333334;9.5
51;7.716666666666667;8.6025;9.316666666666666
61;7.916666666666667;8.529166666666665;9.216666666666667
71;7.883333333333334;8.493333333333332;8.95
81;8.016666666666667;8.438333333333334;9.066666666666666
91;7.233333333333333;8.185833333333333;8.6
101;7.25;8.084999999999997;8.883333333333333
111;7.45;8.009166666666664;8.516666666666667
121;7.583333333333333;8.118333333333334;8.733333333333333
131;7.25;7.950833333333334;8.666666666666666
141;7.483333333333333;8.003333333333334;8.4
151;7.433333333333334;7.8916666666666675;8.333333333333334
161;7.066666666666666;7.728333333333332;8.183333333333334
171;7.366666666666666;7.840833333333333;8.233333333333333
181;7.25;7.749166666666669;8.45
191;6.95;7.657500000000001;8.083333333333334
201;7.033333333333333;7.625833333333333;8.383333333333333
211;7.1;7.616666666666667;8.25
221;7.25;7.660000000000001;8.083333333333334
231;7.116666666666666;7.699166666666666;8.35
241;7.133333333333334;7.689166666666667;8.266666666666667
251;7.216666666666667;7.785000000000001;8.216666666666667
261;7.183333333333334;7.724166666666666;8.85
271;6.733333333333333;7.471666666666667;8.066666666666666
281;6.983333333333333;7.599166666666664;8.016666666666667
291;7.166666666666667;7.692500000000001;8.083333333333334
301;7.0;7.470000000000001;8.133333333333333
