iterations;min;mean;max
1;2172.4496345922353;2373.0215489135276;2581.2597567966827
11;1893.1445299069087;2104.125946499496;2233.3638563434283
21;1903.7377704381943;2058.897985014165;2208.8818156162897
31;1844.1530618508657;1998.4146377806944;2137.4447832107544
41;1782.4578062315782;1974.2604853539228;2196.0283423423766
51;1800.3942942937215;1940.698198832557;2060.5102953910828
61;1787.1653828938802;1891.5813250121791;2050.3349656105042
71;1674.4259270350137;1904.5348048667736;2078.8079545577366
81;1785.540268421173;1930.9950736306357;2060.3663659731546
91;1686.656681481997;1879.012540921097;2041.3445318326353
101;1663.4210609436036;1836.142875122397;2125.137868277232
111;1664.4434902389844;1836.8189687412603;2039.679485797882
121;1685.9805446624755;1858.1220900513476;2090.5111041704813
131;1629.2234277089437;1823.8264496612428;2051.4259393374127
141;1641.4138210932413;1812.303443713039;2055.7685642878214
151;1673.1490091323853;1804.4449045416713;2001.2977917353312
161;1564.4939726193745;1791.0757610257594;2007.783743644009
171;1657.231019631525;1828.9740072323632;2003.0205373764038
181;1653.4174118041992;1794.3410682349652;1957.3259415626526
191;1627.5503506978353;1755.9692916710671;1860.7557282765706
201;1650.3848304112753;1804.7426667585692;1979.8349553426108
211;1615.6324012120565;1767.77065174222;1996.2403334299722
221;1639.9088825861613;1762.7055056728145;1930.7484267552693
231;1671.0305681546529;1781.744025072952;1898.99562338988
241;1612.7995659510295;1750.9152642001088;1943.4577470143636
251;1675.9953895250956;1792.8600193384293;1922.9037048339844
261;1636.3163991292317;1738.532464057555;1860.8238330841064
271;1627.0202011267345;1766.5858673805492;1890.2774478912354
281;1632.4117141723632;1764.4969535000128;1928.7526874542236
291;1679.3319048702717;1780.303773698707;1917.5337347666423
301;1568.295672225952;1749.135328072111;1913.8417623996734
