iterations;min;mean;max
1;0.03744983673095703;0.03829814195632934;0.04075431823730469
11;0.37956905364990234;0.3857573390007019;0.40480613708496094
21;0.7129604816436768;0.724362587928772;0.741715669631958
31;1.049403190612793;1.0634803771972656;1.0834262371063232
41;1.3645999431610107;1.3914742588996887;1.415313482284546
51;1.6996359825134277;1.7234650135040284;1.7587494850158691
61;2.0274603366851807;2.0480417728424074;2.07877779006958
71;2.3573362827301025;2.37978196144104;2.39776611328125
81;2.6865146160125732;2.714698624610901;2.7677454948425293
91;3.081279993057251;3.1372822880744935;3.3125479221343994
101;3.3694067001342773;3.416061019897461;3.567737340927124
111;3.6535770893096924;3.7015719175338746;3.751426935195923
121;3.9738292694091797;4.037165904045105;4.088092088699341
131;4.229638338088989;4.27225958108902;4.332069396972656
141;4.536729574203491;4.608925700187683;4.657219886779785
151;4.909637212753296;4.981772029399872;5.034566402435303
161;5.16916036605835;5.300212657451629;5.379741668701172
171;5.5744709968566895;5.685981416702271;5.743804931640625
181;5.898284196853638;5.970969009399414;6.0541770458221436
191;6.183813571929932;6.32256600856781;6.649281024932861
201;6.486104965209961;6.595698261260987;6.681898832321167
211;6.930500030517578;7.080605411529541;7.795854330062866
221;7.097132205963135;7.2213875412940975;7.4025719165802
231;7.411358594894409;7.522357904911042;7.623528718948364
241;7.7440619468688965;7.829057586193085;7.9192609786987305
251;8.04220700263977;8.148808419704437;8.288058757781982
261;8.34181022644043;8.438158023357392;8.516250610351562
271;8.726021766662598;8.810476517677307;8.898581743240356
281;8.95341157913208;9.06758372783661;9.161327362060547
291;9.141119241714478;9.277005994319916;9.410667896270752
301;9.494647979736328;9.602673208713531;9.71258544921875
