iterations;min;mean;max
1;257303.08;262444.88300000003;268892.08
11;240510.2;242972.3455;246457.68
21;235235.5;238210.01700000005;243212.56
31;233149.16;235344.302;239455.66
41;229216.82;233599.92799999999;237051.37
51;227034.32;231631.29950000002;234758.43
61;228091.63;231523.35999999996;235345.5
71;226668.28;229977.602;233169.59
81;227052.9;230060.7125;232675.61
91;224872.07;229130.527;236406.66
101;224576.46;227892.50650000005;231134.88
111;223767.16;226940.438;230010.25
121;223860.52;227120.83;229994.88
131;222678.26;226774.17549999998;230682.91
141;222773.64;226233.527;229781.64
151;223511.92;225726.44650000002;228106.32
161;222448.12;224812.283;228416.0
171;221251.31;224800.02999999997;227590.08
181;221451.35;224149.75050000002;230219.25
191;220597.44;223622.23850000004;226494.38
201;220895.7;223683.70550000007;227276.08
211;220095.63;222510.29100000003;224706.89
221;220121.91;222846.44499999998;227189.19
231;218478.36;222424.90649999995;224878.92
241;218847.62;221901.66849999997;225784.1
251;220041.45;222359.21899999998;225942.36
261;217812.83;222138.38999999998;224625.28
271;219494.93;222370.367;226614.26
281;218183.72;220773.295;223696.26
291;218867.8;221254.56100000005;224990.06
301;218696.22;221308.717;224071.58
