iterations;min;mean;max
1;0.03768277168273926;0.03946796655654907;0.0572504997253418
11;0.3779113292694092;0.384630286693573;0.40725255012512207
21;0.7143034934997559;0.7300145506858826;0.75766921043396
31;1.058213472366333;1.0947821497917176;1.1726183891296387
41;1.4339501857757568;1.4482510447502137;1.4684195518493652
51;1.7385354042053223;1.758588469028473;1.7809865474700928
61;2.0867812633514404;2.1445394277572634;2.2885982990264893
71;2.4213552474975586;2.5174468874931337;2.7373130321502686
81;2.7833328247070312;2.802297222614288;2.8620803356170654
91;3.0724778175354004;3.114494788646698;3.169316530227661
101;3.408539056777954;3.4447718143463133;3.4983153343200684
111;3.755086660385132;3.795505952835083;3.9442059993743896
121;4.0989601612091064;4.171779787540435;4.310333251953125
131;4.506478786468506;4.588579761981964;4.680906295776367
141;4.8734986782073975;4.9403194189071655;5.029890060424805
151;5.121391534805298;5.213299345970154;5.345495939254761
161;5.391836166381836;5.477259778976441;5.588625431060791
171;5.727097034454346;5.79270430803299;5.890281677246094
181;6.112794399261475;6.224660325050354;6.287729501724243
191;6.493018865585327;6.644544565677643;6.9666969776153564
201;6.770018100738525;6.914830183982849;7.098904609680176
211;7.076411008834839;7.192098140716553;7.299098014831543
221;7.431737899780273;7.525550723075867;7.639972925186157
231;7.7401347160339355;7.861494147777558;8.007300615310669
241;8.062888383865356;8.136872017383576;8.299054622650146
251;8.4055655002594;8.58649958372116;8.728816032409668
261;8.712858438491821;8.93348662853241;9.0530104637146
271;9.026198863983154;9.21818654537201;9.757109642028809
281;9.35732388496399;9.59545739889145;10.608819484710693
291;9.879827499389648;10.129740619659424;10.510040283203125
301;10.102662324905396;10.319810724258422;10.576536178588867
