iterations;min;mean;max
1;130748.26666666666;132821.3409722222;135531.36944444446
11;112855.95;114753.7829166667;117728.02222222222
21;106089.73333333334;109199.75125;111950.30277777778
31;104271.12222222223;106651.68541666665;108299.66666666667
41;102427.58333333333;105001.05375;107101.625
51;99905.86666666667;102604.03430555556;105980.15555555555
61;99927.73888888888;101723.29305555555;103544.99444444444
71;98066.84444444445;100841.57861111112;103183.43333333333
81;97398.55277777778;99897.93541666667;102691.21111111112
91;95452.22222222222;99001.93513888889;102332.9388888889
101;96377.72777777778;99030.12138888889;101338.35277777778
111;95622.24444444444;98116.52874999998;101516.5638888889
121;94260.3;96464.7513888889;99419.98888888888
131;93870.54722222222;96150.43930555556;99011.51388888889
141;94764.9361111111;96236.8998611111;99232.38055555556
151;93207.54722222222;95364.51611111111;97954.16666666667
161;93760.13333333333;95943.37916666668;98627.99444444444
171;92678.08611111112;95104.55694444444;96992.67777777778
181;90551.78888888888;94319.19097222222;97010.83333333333
191;91259.8111111111;94679.76847222222;96807.76666666666
201;90359.16111111111;94040.3926388889;97250.06944444444
211;88836.15555555555;93185.71902777777;96864.13333333333
221;90447.71666666666;93745.15111111112;98321.575
231;89224.04444444444;93453.51027777778;96023.57777777778
241;91793.33333333333;93598.23527777777;95352.34444444445
251;90515.63333333333;93109.15180555555;95674.475
261;89556.24444444444;93229.09375000001;95468.5
271;89654.5;92590.7075;96061.96111111112
281;88180.61111111111;92814.39694444444;95105.31944444444
291;88303.32777777778;92843.64194444443;95636.65555555555
301;86873.95833333333;91323.61458333333;94272.55833333333
