iterations;min;mean;max
1;12.516666666666667;12.983333333333334;13.45
11;9.583333333333334;10.079999999999998;10.5
21;9.083333333333334;9.463333333333331;9.866666666666667
31;8.366666666666667;8.861666666666666;9.5
41;7.983333333333333;8.539166666666667;8.983333333333333
51;7.966666666666667;8.416666666666668;9.083333333333334
61;7.35;8.074166666666667;8.666666666666666
71;7.583333333333333;7.926666666666668;8.216666666666667
81;7.466666666666667;7.844166666666666;8.35
91;6.95;7.602499999999999;8.083333333333334
101;7.266666666666667;7.601666666666668;7.933333333333334
111;6.95;7.399166666666668;7.766666666666667
121;6.516666666666667;7.2441666666666675;7.55
131;6.9;7.215833333333333;7.9
141;6.483333333333333;7.111666666666667;7.516666666666667
151;6.383333333333334;7.037500000000001;7.666666666666667
161;6.4;6.9816666666666665;7.333333333333333
171;6.35;6.885000000000001;7.283333333333333
181;6.416666666666667;6.797499999999998;7.15
191;6.35;6.735833333333332;7.083333333333333
201;6.216666666666667;6.745;7.2
211;6.25;6.655833333333332;7.3
221;5.983333333333333;6.5583333333333345;6.9
231;6.316666666666666;6.5808333333333335;6.866666666666666
241;6.2;6.589999999999999;6.95
251;5.816666666666666;6.410833333333334;7.0
261;6.25;6.491666666666667;6.75
271;6.033333333333333;6.3583333333333325;6.766666666666667
281;5.966666666666667;6.3775;6.783333333333333
291;6.05;6.331666666666666;6.7
301;5.933333333333334;6.315;6.683333333333334
