iterations;min;mean;max
1;187872.85037932202;212544.5544383855;228415.05025803595
11;146762.1765021324;151763.2684781171;154439.44695555806
21;140466.71658489227;143081.6214096097;147669.98329541265
31;134558.01264237642;136590.44562045165;140837.61910566187
41;128794.6455192244;133520.13733530883;136835.65823777675
51;126632.11698910117;130938.49906570064;135613.42306147574
61;124309.26801012039;129392.39294615938;132583.61191848756
71;122373.59023344994;127742.64503198725;131533.86431854247
81;122296.33019609451;125492.2397771397;132328.38048784257
91;119063.28726657867;123908.48040683095;127759.59017719269
101;119749.28773590089;123130.88963086755;126175.8393454957
111;119721.11465175629;122202.3449923093;124334.90703037262
121;117926.51229009629;120523.28788671075;123956.94642422676
131;117810.89788230896;120586.31268334687;124275.27364379884
141;117292.33016662598;120782.25046404987;122939.30875419617
151;116023.467404747;118657.26994332478;122654.10853858948
161;114440.31218112945;118824.88297895784;122904.86459058762
171;114319.47745510102;117347.5925050576;121489.48432682037
181;114265.94301280976;118408.13948026097;122729.17334144592
191;113216.7345302391;116289.00855309128;119564.68122211457
201;114297.04647064209;116711.74379341576;119145.44728408814
211;113460.53577800878;116008.09566333001;117685.95381519318
221;111249.75354671478;116356.67697211393;120234.36017234802
231;112513.12846260071;114685.14918698577;117986.71841838837
241;110916.25952682496;114846.74757808165;118715.71829408646
251;111164.98781521167;114048.1612725772;117175.64723026752
261;110906.53142112732;113547.39597337083;115973.90505905151
271;110816.64401687622;113559.64883439972;116369.69127279281
281;109155.46955642701;113950.91399391278;117532.47655357543
291;109893.57191490888;113030.6632846843;115458.6243126297
301;109279.94096221923;112213.03614565427;115850.40703208924
