iterations;min;mean;max
1;0.04020285606384277;0.043556177616119386;0.08035445213317871
11;0.4008643627166748;0.41997441053390505;0.4617459774017334
21;0.7712879180908203;0.783976674079895;0.8101279735565186
31;1.1243023872375488;1.1598692893981934;1.2067909240722656
41;1.5172593593597412;1.5434762239456177;1.5828614234924316
51;1.8704617023468018;1.8926419615745544;1.9116857051849365
61;2.2303216457366943;2.26786208152771;2.304517984390259
71;2.5880656242370605;2.626062107086182;2.6581735610961914
81;2.9050612449645996;2.9507357597351076;3.02112078666687
91;3.2550318241119385;3.318620538711548;3.4130473136901855
101;3.5674095153808594;3.651445460319519;3.7345471382141113
111;3.8849799633026123;3.9542129278182983;3.995615005493164
121;4.284396648406982;4.326885712146759;4.384823322296143
131;4.632815837860107;4.71283391714096;4.8135340213775635
141;4.963573455810547;5.036533403396606;5.1178812980651855
151;5.365021467208862;5.430286169052124;5.536872386932373
161;5.671062231063843;5.7616767406463625;5.850402593612671
171;5.9997477531433105;6.1122990369796755;6.195457220077515
181;6.353917598724365;6.442893314361572;6.531687021255493
191;6.584002733230591;6.81099020242691;6.934966802597046
201;6.957242727279663;7.129252147674561;7.241978168487549
211;7.370366334915161;7.4961276173591616;7.6410791873931885
221;7.6737143993377686;7.822478985786438;7.932750701904297
231;8.137172222137451;8.212785601615906;8.288469552993774
241;8.32992172241211;8.544529807567596;8.694456577301025
251;8.69527816772461;8.85952000617981;8.989417314529419
261;9.032229900360107;9.170774126052857;9.417404890060425
271;9.333056449890137;9.602957546710968;9.834469079971313
281;9.832902431488037;9.992192769050598;10.150030851364136
291;9.993997812271118;10.254351925849914;10.437273025512695
301;10.415468215942383;10.635358762741088;10.763331651687622
