iterations;min;mean;max
1;0.0;0.042;0.16
11;0.0;0.048;0.16
21;0.04;0.06;0.16
31;0.0;0.06000000000000001;0.16
41;0.0;0.06800000000000003;0.2
51;0.0;0.057999999999999996;0.12
61;0.0;0.055999999999999994;0.16
71;0.0;0.062;0.16
81;0.0;0.07200000000000001;0.16
91;0.0;0.05;0.12
101;0.0;0.057999999999999996;0.16
111;0.0;0.062;0.2
121;0.0;0.07;0.2
131;0.0;0.049999999999999996;0.16
141;0.0;0.044000000000000004;0.16
151;0.0;0.054000000000000006;0.2
161;0.0;0.06000000000000002;0.2
171;0.0;0.046;0.16
181;0.0;0.06200000000000001;0.16
191;0.0;0.055999999999999994;0.16
201;0.0;0.044;0.12
211;0.0;0.05800000000000001;0.12
221;0.0;0.054000000000000006;0.16
231;0.0;0.04;0.12
241;0.0;0.052000000000000005;0.12
251;0.0;0.05800000000000001;0.12
261;0.0;0.044;0.16
271;0.0;0.054000000000000006;0.16
281;0.0;0.06000000000000001;0.16
291;0.0;0.05600000000000001;0.2
301;0.0;0.07600000000000001;0.2
