iterations;min;mean;max
1;195314.65285721756;207938.18070254257;219503.71776991442
11;147250.20576385976;153765.14260727807;160408.95354724885
21;135579.93454649448;142987.6752977605;148745.30444984764
31;135304.74919965625;138480.5872849693;141616.30252986908
41;129884.62860693931;134655.7947830861;139625.99778339863
51;129275.79422093391;131881.94943432885;134782.67730765342
61;125119.07606464386;130076.5233780845;133769.5552230549
71;125633.46858362197;128754.08262066341;132216.6079819107
81;122711.50221262932;127236.20562880761;131853.88097148895
91;123188.36839748382;125966.4714195052;129168.05623036384
101;122925.69737140655;125288.37668524512;128406.97117971421
111;121814.67041576386;124364.26886414802;127601.46715312958
121;120007.28125383377;124269.2631720637;127339.22523979186
131;119181.88187984466;122085.85079035912;125196.69873269559
141;118034.80650206089;121550.5553499009;124602.29793178558
151;115026.08365017414;120831.14940239492;125271.23592864037
161;117837.67998756409;120434.74913362946;124174.88072685241
171;116773.54317025785;119494.77027778844;123594.06296375275
181;115781.21794869423;119314.16445925464;121718.53366221428
191;115678.5999866581;119593.50369779956;122246.10712852477
201;114064.79270301819;118174.97676329598;120387.69623653412
211;116304.99241247177;118131.43802509825;120727.31558166504
221;115215.30148204803;117623.19952630468;120124.8258485794
231;114075.36813909531;116933.177228728;119068.63016956329
241;113870.57106402643;116834.72259841669;120599.41272847175
251;114727.11136346817;116789.95046021361;120330.41211265564
261;113381.92918563842;116010.8232171229;120681.57289951324
271;112039.4243624115;116290.50963215428;118809.75699234009
281;112101.8226304245;114874.38410139685;116132.53901512147
291;111489.40395213127;115543.88990559995;118586.38402565003
301;110093.88855430603;115398.4623836511;118216.14124725341
