iterations;min;mean;max
1;2.280397128895081;2.3410885656978624;2.4425114494344062
11;2.2666814730581604;2.3137209025287833;2.3479981621940493
21;2.2486616682215437;2.2860108257748872;2.33181427378197
31;2.214574179281399;2.2586423647856217;2.3123096213610186
41;2.182754509210088;2.2458547323699105;2.277239622898734
51;2.2049154522359116;2.236738918813965;2.27033848971721
61;2.1975207065859044;2.2353389961442365;2.270319274654173
71;2.1626403525251177;2.2258040573304547;2.281392123150869
81;2.158093795108937;2.213905916147069;2.2725408214416434
91;2.1619912762830937;2.208156014328093;2.257262371805632
101;2.149461277387737;2.2127177417803567;2.245845710707364
111;2.166037721265622;2.209360762876409;2.2692547899095055
121;2.1351029062191462;2.194904820203547;2.2575524726630993
131;2.148804255386322;2.185634482966073;2.253083479891143
141;2.146331117306957;2.1986590192425197;2.2424098966725654
151;2.119486339899517;2.174789645888454;2.233025112848107
161;2.1411137516557877;2.1863510749713937;2.2327217748225916
171;2.1476665896029448;2.18120883136389;2.2388169720215156
181;2.116974035116909;2.185482978878327;2.2415647624767394
191;2.1273546236808394;2.1902618736813024;2.2298360916187883
201;2.1479364901220426;2.186423059593662;2.25897537057392
211;2.134935706785674;2.172505615468989;2.249973982863466
221;2.1054701889054903;2.167822530974509;2.2182946544900966
231;2.108468453753657;2.174637770505293;2.245923932435143
241;2.1176918648965946;2.1782165242464018;2.235250645094395
251;2.1195910682384493;2.1702351637304704;2.2235381713609947
261;2.122635755333131;2.16846704221856;2.2098571055363245
271;2.122696431600973;2.1680001118424403;2.2135617475255898
281;2.0949411035339685;2.1589732125559653;2.208993336139855
291;2.1199738650324615;2.174662923712984;2.221582822440795
301;2.1086830007688966;2.159091329945376;2.2437942983203745
