iterations;min;mean;max
1;2434.1541666666667;2461.1366666666668;2483.1291666666666
11;2246.0291666666667;2267.869166666667;2292.9
21;2155.7375;2178.019166666667;2209.875
31;2087.05;2114.9897916666664;2146.016666666667
41;2052.045833333333;2073.890625;2105.4583333333335
51;2009.9333333333334;2040.000833333333;2067.9
61;1989.3083333333334;2011.9249999999997;2037.7041666666667
71;1959.4916666666666;1987.3408333333332;2014.4291666666666
81;1947.0833333333333;1971.3527083333333;1982.7625
91;1928.4458333333334;1948.546875;1965.5083333333334
101;1914.0916666666667;1939.7227083333335;1966.0
111;1909.8958333333333;1927.8654166666668;1955.7208333333333
121;1888.4791666666667;1913.5452083333334;1949.1458333333333
131;1889.2125;1905.856875;1922.7833333333333
141;1870.8041666666666;1890.4302083333337;1909.7041666666667
151;1856.7958333333333;1887.2352083333335;1916.3583333333333
161;1859.1125;1880.4577083333334;1909.2125
171;1861.4333333333334;1876.6866666666665;1909.2791666666667
181;1843.4625;1864.7114583333337;1883.1458333333333
191;1840.2916666666667;1862.0343750000004;1879.3291666666667
201;1848.4833333333333;1860.5797916666666;1881.3333333333333
211;1827.0291666666667;1851.1881249999994;1866.6625
221;1826.6375;1846.3260416666667;1864.4458333333334
231;1834.7083333333333;1848.4354166666667;1860.1166666666666
241;1820.9416666666666;1840.1462500000002;1858.8541666666667
251;1821.4833333333333;1834.2402083333334;1854.1583333333333
261;1812.6166666666666;1830.855;1851.1041666666667
271;1805.9458333333334;1824.9293750000004;1837.675
281;1810.425;1828.9741666666664;1842.2125
291;1801.3416666666667;1824.3652083333334;1839.5166666666667
301;1799.6958333333334;1819.1172916666674;1833.9541666666667
